Institute Code,College Name,Region,Region Type,College Address,Email Address,Website,Registrar Name,Principal Name,Office Phone,Fax No,Status,Autonomy Status,Minority status
1119,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Amravati,Rural,"Anuradhha Nagar, Sakegaon Road, Chikhali Dist. Buldhana ",annprincipal55@gmail.com,www.aecc.ac.in,Prof. Vijay D.Gurudasani,Dr. Arun N. Nanhai,242063,243278,Un-Aided,Non-Autonomous,Non-Minority
1120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Amravati,Rural,"MIDC, Lohara, Amaravati Road, Yavatmal",jdiet_yml@bsnl.in,www.jdiet.ac.in,Avinash Navghare,Dr. Ramchandra Suresh Tatwawadi,7447797962,,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi
1121,"Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology, Amravati",Amravati,Urban,"Hanuman Vyayam Nagar, H.V.P.M. Campus, Amravati",principal@hvpmcoet.in,www.hvpmcoet.in,Mr. S.V.Dhole,Dr. A.B.Marathe,2563422,2571170,Un-Aided,Non-Autonomous,Non-Minority
1122,"Dr. Bhausaheb Nadurkar College of Engineering, Waghapur,Yavatmal",Amravati,Urban,"Shri Saty Sai Krida Nagari, Waghapur Road, Yavatmal",dbncoetytl@gmail.com,www.dbncoet.ac.in,Prof. Ravi V. Nadimpalli,Prof.Abhijeet Vitthal Shinde,246162,244097,Un-Aided,Non-Autonomous,Non-Minority
1123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",Amravati,Rural,"University Mardi Road, Opp. Heart Hospital, Amravati",principal_coe@rediffmail.com,www.drgitr.com,Nil,Dr.P.B.PATIL,2970275,2970275,Un-Aided,Non-Autonomous,Non-Minority
1124,"G.H. Raisoni college of Engineering & Management, Amravati",Amravati,Rural,"Anjangaon, Bari Road, Amravati",vijay.rathod@raisoni.net,ghrcema.raisoni.net,Dr. Anand Deshpande,Dr. Vijay R. Rathod,2385432,2385429,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi
1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana",Amravati,Rural,"Rajarshi Shahu Nagar, Near Palna Ghar, Sagwan Road,  Buldhana ",rsc_engg@rediffmail.com,www.rsce.ac.in,Adv. Ms. Kirti Sawale,Dr. Jayant P. Kaware,287167,242834,Un-Aided,Non-Autonomous,Non-Minority
1126,"Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati",Amravati,Rural,"Darapur, Taluka. Daryapur, Amravati",principal.kgiet@gmail.com,www.kgiet.ac.in,Nilesh Ghotkar,DR. N .S. GHOTKAR,7720032432,2662183,Un-Aided,Non-Autonomous,Non-Minority
1127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Amravati,Rural,"Sr. No.167/1,167/2 &163/,Arni Road, Mauza-Kinhi,Tal & Dist-Yavatmal",principal@jcoet.org,www.jcoet.org,Hemant M Baradkar,Dr. H.M. Baradkar,244226,244226,Un-Aided,Non-Autonomous,Non-Minority
1128,"Prof Ram Meghe College of Engineering  and Management, Badnera",Amravati,Urban,"New Express Highway, Badnera Dist. Amravati",principal@prmceam.ac.in,www.prmceam.ac.in,Mr. Sagar J Chandak,Dr. M. S. Ali,2580373,2580372,Un-Aided,Non-Autonomous,Non-Minority
1139,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Girls Polytechnic, Amravati",Amravati,Urban,"Shivaji Nagar, Amravati",principaldrpdgpamt@rediffmail.com,www.drpdgp.org,KU.V.M.GULHANE,KU.V.M.GULHANE,2551414,2551414,Un-Aided,Non-Autonomous,Non-Minority
1140,"Dhamangaon Education Society's L.A.M.I.T. Dhamangaon Rly, Amravati",Amravati,Rural,"Dhamangaon Railway,Dist.  Amravati ",principal_lamit@rediffmail.com,www.lamitdmn.com,Devendra N. Goware,Shri A.S.Bhuyar,237135,237135,Un-Aided,Non-Autonomous,Non-Minority
1141,"Janata Shikshan Prasarak Mandal's Dr.N.P.Hirani Polytechnic, Pusad",Amravati,Rural,"Karla Rd,Pusad Dist. Yavatmal",jspmpoly@rediffmail.com,jspmpoly.co.in,K.T.Landge,Dr.T.N.Boob,247107,246316,Un-Aided,Non-Autonomous,Non-Minority
1142,"Vidarbha Youth Welfare Society's Polytechnic, Badnera, Amravati",Amravati,Urban,"Anjangaon, Bari road, Dist. Amravati ",principal_polybadnera@rediffmail.com,www.polybadnera.org,Shri.,Shri. R.M. Deshmukh,2681306,2580903,Un-Aided,Non-Autonomous,Non-Minority
1143,"Nagar Parishad Polytechnic, Nagar Parishad Achalpur, Amravati",Amravati,Urban,"Nehru Maidan, Achalapur Camp Amravati ",principal_poly@rediffmail.com,www.mcach.org.in,A.N. BHARSAKALE,Shri. P.M. Bhansali,221373,222494,Un-Aided,Non-Autonomous,Non-Minority
1144,"Bhaiyasaheb Javade Education Society, Amravati Polytechnic College, Bhankhed, Amravati",Amravati,Rural,"Servey No. 5, Dustur Nagar-Malkhed Road, Bhankheda (Bk), Dist. Amravati ",amtpoly_bhankheda@rediffmail.com,www.amravatipolybk.com,M S Jawade,MR. SUNIL S. JAWADE,07212710,07212663,Un-Aided,Non-Autonomous,Non-Minority
1145,"Adarsh Shikshan Sanstha, Maa Vaishnavi Polytechnic, Karanja Lad, Washim",Amravati,Rural,"Washim Road, Koli, Karanja Lad, Dist. Washim",maavaishnavipolytechnic@gmail.com,www.mvpkrj.org,,Miss Prerna N. Dongarwar,07256,,Un-Aided,Non-Autonomous,Religious Minority - Jain
1146,"Chaitanya Bahuuddeshiya Sanstha's, G. H. Raisoni Polytechnic, Mhasla, Anjangaon, Amravati",Amravati,Urban,"Mhasla, Anjangaon Bari Road, Dist. Amravati ",ghrpolyamr@raisoni.net,www.raisoni.net,Mr Sachin Wanare,Pravinkumar P. Wankhade,2385433,2385433,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi
1147,"Rambhauji Lingade Polytechnic College, Buldhana",Amravati,Rural,"Gat. No. 445,451, Lingade Kn0wledge Park, Chikali Road, At Yelgaon Dist. Buldhana",rlingade.poly@rediffmail.com,www.lingadefoundation.org,A.A. Asware,Mr. A.R. Rajput (I/c),241666,246624,Un-Aided,Non-Autonomous,Non-Minority
1148,"P. R. Pote Patil Institute of Engineering & Research, At  Kathora, Amravati ",Amravati,Rural,"Kathora Road, Pote Estate, Mu. Kathora Ta. Dist Amravati",prpatilengineering@gmail.com,www.prppier.ac.in,Kishor Deshmukh,Prof. Parag R. Wadnerkar,2970408,2530342,Un-Aided,Non-Autonomous,Non-Minority
1150,"Swavalambi Shikshan Sanstha's Sushganga Polytechnic, Wani",Amravati,Rural,"Survey No. 176,195 Naigaon,Post Kona, Tal. Wani Dist. Yavatmal",sush_polytechnic@rediffmail.com,www.sushgangapoly.org,Pravin,MRS PUSHPA RANI PRASAD,293287,,Un-Aided,Non-Autonomous,Non-Minority
1151,"Late Ahilyabai Kakade Bahuuddeshiya Shikshan Prasarak Mandal, Sai Polytechnic,Kinhi(J),Yavatmal",Amravati,Rural,"S.No.64/1 Mouza-Kinhi (Jawade) Nagpur-Hyderabad N.H.No.7 Tal.Ralegaon, Dist Yavatmal",ahilyaspm@yahoo.com,www.saipolytechnic.com,DEEPAK M PANTAWANE,N.P.Thamke,07202,27644444,Un-Aided,Non-Autonomous,Non-Minority
1152,"Vidarbha Rural Reconstruction Foundation's, Rajeshkumar Wadhawan Polytechnic Institute, Yavatmal",Amravati,Rural,"P/O Konghara, Pimpri, At Pandharkawada Dist. Yavatmal ",rwpiyavatmal@gmail.com,www.rkwpi.org,MANOJ G. BHURGHATE ,AJAY A. KALE ,234350,07235,Un-Aided,Non-Autonomous,Non-Minority
1153,"Adarsha Bahuuddeshiya Shikshan Prasarak Mandal, Dr. R . N. Lahoti Polytechnic, Sultanpur",Amravati,Rural,"No.900/1 & 900/2 Jalna Road, Sultanpur Tal.Lonar Dist.Buldhana",principal_rnl@rediffmail.com,www.drrnlahotipolytechnic.com,Mr.Mangesh M. Davke,Mr Atul A Padghan,272571,,Un-Aided,Non-Autonomous,Non-Minority
1168,"Balaji Polytechnic,Sawarala,Tal-Wani,Yavatmal",Amravati,Rural,"Sawarla, Tal. Wani, Dist. Yavatmal",avn.principal1184@gmail.com,www.balajipolytechnic.in,Mr.W.R.Sontakke,Mr.A. D. Raipure,293274,229216,Un-Aided,Non-Autonomous,Non-Minority
1180,"Sanmati Engineering College, Sawargaon Barde, Washim",Amravati,Rural,"Survey no. 40, Washim-Malegaon Road, At. Post  Sawargaon Barde Dist. Washim ",engineering@sanmati.in,www.sanmati.in,Vikas Joshi,Dr.Priyadarshi Jaruhar,234302,233090,Un-Aided,Non-Autonomous,Non-Minority
1182,"Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana",Amravati,Urban,"Malkapur, Dist. Buldhana",coemalkapur@rediffmail.com,www.coemalkapur.ac.in,Mr. Ramakant Rane,Dr. A W KHARCHE,226700,224943,Un-Aided,Non-Autonomous,Non-Minority
1244,"Bhiwsan Patil Shinde Shikshan Gramin Vikas & Bahu Sanstha,Shinde Polytechnic, Anjani Bk Tal: Mehkar, Dist: Buldhana",Amravati,Rural," Sr.No. 643, 647, Anjani Bk. Mehkar-Dongon Highway Road, Tq: Mehkar, Dist: Buldhana  443301",principal21_shinde@rediffmail.com,www.shindepoly.org,Mr.V.A.DANDADE,Mr.V.B.GAIKWAD,268814,268815,Un-Aided,Non-Autonomous,Non-Minority
1245,"Sakshi Shikshan Krida Prasarak & Bahu Sanstha's  Dr. Rajesh Ramdasji Kambe Polytechnic, Turkhed, Tal: Murtizapur Dist: Akola",Amravati,Rural,"Gat No. 8, S No 13, Turkhed, Tq: Murtizapur Dist: Akola  444107",inforrkpoly@gmail.com,www.drkambepoly.org,MR VIJAY R. SATINGE,Mr.SWAPNIL V. GOLHAR,242144,,Un-Aided,Non-Autonomous,Non-Minority
1246,"Indira Bahuuddeshiya Shikshan Sanstha's Dr. Rajendra Gode Polytechnic,Ghatkhed,  Amravati",Amravati,Rural,"Survey No.29, Ghatkhed,  Amravati  444602",principal_drgp@rediffmail.com,www.ibssdrgpa.org,Prof. W. A. shaikh,Prof. D.R.Deshmukh,2020401,,Un-Aided,Non-Autonomous,Non-Minority
1247,"Shri Dadasaheb Gavai Charitable Trust's Vikramshila Polytechnic,Darapur, Tal. Daryapur, Dist. Amravati",Amravati,Rural,"Survey No.797, At.Post. Darapur, Tq. Daryapur, Dist. Amravati 444814",1444principal@msbte.com,www.vikramshiladarapur.org,S.S. Virkhare,Prof. D. V. Shirbhate,2564255,,Un-Aided,Non-Autonomous,Non-Minority
1249,"Bhonslas Education Trust's Bhonsla Polytechnic, Akola- Washim Highway, Tah. & Dist. Akola",Amravati,Rural,"Survey No. 65, Mouza- Hingna Barlinga, Akola- Washim Highway, Tah. & Dist. Akola. 444608",bhonsla.clg.akl@gmail.com,www.bhonslapoly.org,Prof. Ajay V. Akhare,Prof. Ajay V. Akhare,6450143,,Un-Aided,Non-Autonomous,Non-Minority
1250,"Paramhans Ramkrishna Mouni Baba Shikshan Sanstha's Anuradha Polytechnic, Anuradha Nagar,Chikhali, Buldhana",Amravati,Rural,"Anuradha nagar,Chikhali, Dist-Buldhana  443201",anuradhapolytechnic@gmail.com,www.anupoly.ac.in,M.V.KHATRI,Prof. Swapnil Kudke,243275,,Un-Aided,Non-Autonomous,Non-Minority
1251,"Bhonsla College of Engineering & Reasearch, Akola",Amravati,Rural,"Survey No. 65, Mouza - Hingna Barlingna, Akola-Washim Highway, Tah. & Dist. Akola. ",bim.ngp@gmail.com,www.bhonslacer.org,ANURADHA KHETAL,Dr Jayant P Kaware,6090111,,Un-Aided,Non-Autonomous,Non-Minority
1265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Amravati,Urban,"Khamgaon Road, Shegaon Dist. Buldhana",maulicoet@gmail.com,www.mauligroup.org,Mr. S. S. Badhe,Dr.C.M.Jadhao,7722027506,,Un-Aided,Non-Autonomous,Non-Minority
1267,"Pratap Institute of Management & Technology, Washim.",Amravati,Rural,"Gat No. 89 & 90, Mauza Walki, Risod Road, Washim",pimt.washim@gmail.com,www.pimtwashim.org,Shriram Wamanrao Khope,Sachin Pratapsing Ade,288919,288919,Un-Aided,Non-Autonomous,Non-Minority
1268,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile ",Amravati,Rural,"Gat No.133,134 & 140, Shegaon Khamgaon Road, Shirasgaon, Nile, Tal. Shegaon",admn.stc@gmail.com,www.stc.org.in,Prof. Umesh Kute,Dr. Anant G. Kulkarni,220222,220333,Un-Aided,Non-Autonomous,Non-Minority
1269,"Rajarshi Shahu Polytechnic, Buldhana.",Amravati,Urban,"Near L.I.C. Office, Chaitanyawadi,Buldhana.  443001",principal.rspoly@gmail.com,rspoly.org,Mr.N.K.SAWARKAR,Prof D.A.Kulkarni,242200,242200,Un-Aided,Non-Autonomous,Non-Minority
1275,"Manav School of Polytechnic, Vyala, Tal.Balapur, Akola",Amravati,Rural,"Gut No.1035, Surat-Nagpur Highway, Vyala, Tal.Balapur, Akola",principal@manavpolytechnic.ac.in,www.manavpolytechnic.ac.in,Akshay Gosavi,Mandar Deshmukh,238404,238406,Un-Aided,Non-Autonomous,Non-Minority
1276,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola,  444302",Amravati,Rural,"Gut No.1035, Surat Nagpur Highway Vyala, Tal.Balapur, Akola",principal@manavengineering.ac.in,www.manavengineering.ac.in,Santosh Kale,Pralhad Polgawande,238406,238406,Un-Aided,Non-Autonomous,Non-Minority
1277,"Kirti Polytechnic, Amravati.",Amravati,Urban,"Uttam Nagar, Yashoda Nagar Road, Amravati",principal.kpa@gmail.com,www.kirtipolytechnic.org,Mr. Atul R. Jagtap,Mr. Shailesh S. Shekapure,2540070,,Un-Aided,Non-Autonomous,Non-Minority
1278,"Let.Dr.D.B.Dod College of Engineering, Jambla,Achalpur",Amravati,Rural,"Sr.No.32/4 , Mauja Jambla, Anjangaon Road, Paratwada Tal. Achalpur Dist. Amravati",drdbdod@rediffmail.com,www.dbdcoe.org,Jayashree R. Talokar,Chandrashekhar D Dod,225503,,Un-Aided,Non-Autonomous,Non-Minority
2008,"Government College of Engineering,  Aurangabad",Aurangabad,Urban,"Station Road, Osmanpura,  Aurangabad",principalgeca@yahoo.com,www.geca.ac.in,Rasal Shivaji Bhagwan,Dr. P. B. MURNAL,2366111,2332835,Government,Autonomous,Non-Minority
2010,"Government Polytechnic, Aurangabad",Aurangabad,Urban,"Osmanapura,Aurangabad Aurangabad , 431005",gpaur@rediffmail.com,www.gpabad.ac.in,M H KHAN,Prof. F. A. KHAN,2360781,2353644,Government,Autonomous,Non-Minority
2011,"Government Polytechnic, Beed",Aurangabad,Urban,"Nathapur Road, Beed , 431122",office.gpbeed@dtemaharashtra.gov.in,www.gpbeed.ac.in,KAKADE K E,M.R. LOHOKARE,222603,222609,Government,Non-Autonomous,Non-Minority
2012,"Government Polytechnic, Hingoli",Aurangabad,Urban,"Hingoli P-9 M.I.D.C Nimbala , Hingoli 431513",govtpolyhingoli@yahoo.com,www.gphingoli.in,B M JAMBHOLE,Dr. R K Sawant,248045,248042,Government,Non-Autonomous,Non-Minority
2013,"Government Polytechnic, Ambad",Aurangabad,Urban,"C/O Govt. Iti Campus, Beed Road, Ambad, Dist. Jalna  431203",gpambad.dte@gmail.com,www.gpambad.ac.in,Dr. Adesh Manikchand  Jinturkar ,Dr. Adesh Manikchand  Jinturkar ,275010,275010,Government,Non-Autonomous,Non-Minority
2014,"Government Polytechnic, Jalna",Aurangabad,Urban,"Nagewadi, Aurangabad Road, Jalna , 431203",gpjalna.dte@gmail.com,gpjalna.ac.in,Mr.S.A.Pandit,S.R.Navale,282929,,Government,Non-Autonomous,Non-Minority
2015,"Puranmal Lahoti  Government Polytechnic, Latur",Aurangabad,Urban,"Ausa Road Latur , 413531",office.plgplatur@dtemaharashtra.gov.in,www.plgpl.org,S.M. Gaikwad,Dr.K.M.Bakwad,242881,242881,Government,Non-Autonomous,Non-Minority
2016,"Government  Residential Women's Polytechnic, Latur",Aurangabad,Urban,"Barshi Road, Latur , 413531",grwpl_ltr@rediffmail.com,www.grwpl.org.in,Waichale D K,Dr.A.M.Agarkar,221184,221175,Government,Non-Autonomous,Non-Minority
2017,"Government Polytechnic, Nanded",Aurangabad,Urban,"Veer Sawarkar Marg, Baba Nagar, Nanded , 431602",principal.gpnanded@dtemaharashtra.gov.in,www.gpnanded.org.in,R M DHULEWAD,Dr. G.V. GARJE,254210,,Government,Non-Autonomous,Non-Minority
2018,"Government Polytechnic, Osmanabad",Aurangabad,Rural,"Tuljapur Road, Osmanabad , 413501",office.gposmanabad@dtemaharashtra.gov.in,www.gposmanabad.org,Mr.K.V.Gore,Dr.D.M.Ghaitidak,251745,251745,Government,Non-Autonomous,Non-Minority
2019,"Government Polytechnic, Jintur",Aurangabad,Urban,"Yeldari Road, Jintur Dist.Parbhani ",principal.gpjintur@dtemaharashtra.gov.in,www.gpjintur.in,Dr. K.B. LADHANE,Dr. H. P. Taskar,237163,237163,Government,Non-Autonomous,Non-Minority
2111,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar",Aurangabad,Urban,"Gut No.187&189, Ohar, Jatwada Road,  Aurangabad",contact@everesteducationsociety.org,www.everesteducationsociety.org,Quadri S. A. Qadeer,Dr. Deepak K. Gupta,6450827,2300141,Un-Aided,Non-Autonomous,Religious Minority - Muslim
2128,"Maharashtra College of Engineering, Nilanga",Aurangabad,Urban,"Maharashtra Education Society's College of Engineering, Nilanga A/P Nilanga Dist. Latur ",mcenilanga20@yahoo.com,www.mce-nilanga.com,Dilip Ramrao Makane,Mr. D. R. Makane ,242088,242088,Un-Aided,Non-Autonomous,Non-Minority
2137,"Nagnathappa Halge Engineering  College, Parli, Beed",Aurangabad,Rural,"At Brahmwadi , Post Tokwadi, Parli-Beed State Highway, Parli Vaijnath Dist. Beed",nhce1@hotmail.com,www.nhce.in,Prof. Mulgir S.N.,Dr. M. Bhaskara Rao,224334,224334,Un-Aided,Non-Autonomous,Non-Minority
2138,"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Aurangabad,Urban,"Jalna-Aurangabad Road, Nagewadi, Jalna",msscetjalna@gmail.com,www.msscetjalna.org,Sham B. Bhojane,Dr. Biradar Shantisagar Kishanrao,202533,262055,Un-Aided,Non-Autonomous,Non-Minority
2140,"Shri. Dhaneshwari Manav Vikas Mandal, Dr. V. K. Patil Engineering College, Hatta,Hingoli",Aurangabad,,"Hatta, Tal. Basmat, Dist. Hingoli",drvkpengg@gmail.com,www.drvkpatilengg.org,,Prof.Gadime V.T,244257,227568,Un-Aided,Non-Autonomous,Non-Minority
2141,"Shri Sai Samajik Vikas Santha's Shri Sai Colllege of Engineering, Paddari Village Tal. & Dist. Aurangabad",Aurangabad,Rural,"Gut No. 80, Paddari Village,Near Beed bypass,via Deolai,Near Sai Mandir, Tal. & Dist. Aurangabad",appoint01@gmail.com,www.saiengineeringcollege.in,Kharat B.M.,Prof : Kharat B.M.,6453732,2352126,Un-Aided,Non-Autonomous,Non-Minority
2144,"Maharashtra Education Society's Maharashtra Udayagiri Institute of Management & Technology, Somnathpur",Aurangabad,Rural,"Vill. Somnathpur, Tal. Udgir. Dist. Latur",principalmuimt@gmail.com,www.muec.ac.in,Mr. Kulkarni A.B.,Dr. Venkata Krishnamurthy Katharu,256152,259844,Un-Aided,Non-Autonomous,Non-Minority
2145,"Geetai Charitable Trust's Khurana Sawant Institute of Engineering & Technology, Balsond, Hingoli.",Aurangabad,Rural,"Balsond, Tal.& Dist. Hingoli",ksiet_hingoli@yahoo.co.in,www.ksiet.org,Ashruba Limbaji Korde,Prof. U. S. Sakhare,290281,221481,Un-Aided,Non-Autonomous,Non-Minority
2146,"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",Aurangabad,Rural,"Keshav Nagar, Jadahavwadi Road, Osmanabad.Tal.  & Dist. Osmanabad",ktpcoeo@gmail.com,www.ktpcoe.org.in,ANDHALKAR SANTOSH,Prof. PASARE BALAJI SHIVAJI,2293200,2203259,Un-Aided,Non-Autonomous,Non-Minority
2168,"Shree Sai Samajik Vikas Sanstha, Nath Polytechnic, Paithan, Dist. Aurangabad",Aurangabad,Rural,"Plot No. B-1, M.I.D.C., Paithan, Dist. Aurangabad 431148",nathpoly@gmail.com,www.nathpolytechnic.org,Prof.Vijay Jadhav,Prof.S.S.Pimple,232163,232163,Un-Aided,Non-Autonomous,Non-Minority
2171,"Gramodyogik Shikshan Mandal's Marathwada Institute Of Technology, Rotegaon, Vaijapur, Dist. Aurangabad.",Aurangabad,Rural,"Rotegaon, Post Box No. 327, Taluka, Vaijapur,Satara Village Road Dist. Aurangabad 431028",munish.sharma@mit.asia,www.mit.asia,V.G.Talekar,PROF. K.S.PATIL,204035,204035,Un-Aided,Non-Autonomous,Non-Minority
2172,"Hi-Tech Polytechnic, Aurangabad",Aurangabad,Urban,"P-119, Bajajnagar, Aurangabad",principal.hitech.poly@gmail.com,www.hitechpoly.edu.in,MR. Bhagchand Jadhav,PROF. ABHAY WAVARE,2553496,2552240,Un-Aided,Non-Autonomous,Non-Minority
2173,"Shree Yash Pratishthan, Shree Yash Polytechnic, Satara Tanda, Aurangabad.",Aurangabad,Urban,"Gat No. 258, Satara Tanda, Taluka & Dist. Aurangabad. 431005",1092principal@msbte.com,www.sypoly.org,sharad sukhdeo pawar,Prof. S.D. Bhopale,6608705,6608709,Un-Aided,Non-Autonomous,Non-Minority
2174,"Shree Bharavnath Nisarga Mandal, Diploma in Engineering and Technology, Gevrai Tanda, Aurangabad",Aurangabad,Rural,"Gevrai Tanda, Paithan Road, Taluka & Dist. Aurangabad.  431001",principalsbnm@rediffmail.com,www.sbnmpoly.org,Mr. Kazi M,DR.D.A.KULKARNI,2480451,2480451,Un-Aided,Non-Autonomous,Non-Minority
2175,"Shiva Trust's Sharadchanraji Pawar Polytechnic College, Aurangabad.",Aurangabad,Urban,"Near Videocon Communication Ltd.,Beed By Pass Highway, Tq.Dist.Aurangabad  431005",sharadpawarpoly@gmail.com,www.sharadchandrapawarpoly.com,Mr.Kishor K. Danke,Dr. Balasaheb Shivaji Pawar,2644445,2329696,Un-Aided,Non-Autonomous,Non-Minority
2176,"Chatrapati Shahu Maharaj Shikshan Sanstha, C.S.M.S. Sansthas College Of Polytechnic, Kanchanwadi, Aurangabad",Aurangabad,Urban,"Paithan Road, Kanchanwadi, Aurangabad  431002",csmsspoly@gmail.com,www.csmsspoly.com,Bharat G. Dhanwade,Ganesh B. Dongre,2646401,2379355,Un-Aided,Non-Autonomous,Non-Minority
